Scam_Platform,Syndicate_group,Address_L0,CrytoType,Balance,symbol,currency_address,address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance_USD,urlscan_records,IP,IP_owner,ASN
http://qqkkx.com,FunNull,0x310a94F23BCC8B96dF22FD6cDB007201Ace388E2,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x310a94f23bcc8b96df22fd6cdb007201ace388e2,506228.684,506424.3993,4/25/2021 1:43,506228.684,506424.3993,6/26/2021 11:17,,https://urlscan.io/api/v1/result/9f0445b7-ba37-4c98-aa40-08655f6e2168/,,,
http://www.letian1122.com/svzFI7,FunNull,39Vj7f87m3maS7iNNssKWwU1XkPdaHP7Ug,BTC,5.47E-06,BTC,,39Vj7f87m3maS7iNNssKWwU1XkPdaHP7Ug,33.57445439,1467305.08,4/25/2021,33.57444892,1466581.702,5/29/2021,723.3783795,https://urlscan.io/api/v1/result/e2f418af-4b64-4c0b-938b-c5416c30cb7d/,,,
http://www.letian1122.com/svzFI7,FunNull,3DpagDScbGW7YJimrezbh9mzQVp77r7pqK,BTC,1.09E-05,BTC,,3DpagDScbGW7YJimrezbh9mzQVp77r7pqK,56.46958437,2044108.31,5/29/2021,56.46957343,2042267.236,6/29/2021,1841.074737,https://urlscan.io/api/v1/result/e2f418af-4b64-4c0b-938b-c5416c30cb7d/,,,
https://www.sixtrade.xyz,FunNull,3MVHM4MZyMqSniJuV2nKQvh4syCtKUqsHc,BTC,5.47E-06,BTC,,3MVHM4MZyMqSniJuV2nKQvh4syCtKUqsHc,70.80471474,2515035.082,5/29/2021,70.80470927,2514921.58,6/27/2021,113.5020828,,,,
https://www.xntd123.com,FGLines,3D3Sp13v5htQ5VpX7YcCVXj7Lt2VhXMRa8,BTC,0,BTC,,3D3Sp13v5htQ5VpX7YcCVXj7Lt2VhXMRa8,15.12924652,664019.0351,1/11/2021,15.12924652,659096.8909,9/4/2021,4922.144193,,,,
https://www.coproex.cc,FGLines,0xC20c8bFBC8f600FdDD55a72Fb64EF1f40b0A62f8,ETH-USDT,,ETH,-,0xc20c8bfbc8f600fddd55a72fb64ef1f40b0a62f8,158.3957926,88772.53322,11/2/2020 10:15,158.3957926,88772.53322,1/4/2021 11:51,,,,,
https://www.coproex.cc,FGLines,0xC20c8bFBC8f600FdDD55a72Fb64EF1f40b0A62f8,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc20c8bfbc8f600fddd55a72fb64ef1f40b0a62f8,91587.64602,91335.11191,11/2/2020 10:15,91587.64602,91335.11191,1/4/2021 11:51,,,,,
https://www.coproex.cc,FGLines,0x880293e0d34f5046eC71D42C17Ced6588EFD4bA2,ETH-USDT,,ETH,-,0x880293e0d34f5046ec71d42c17ced6588efd4ba2,28.0710097,28483.53653,1/4/2021 11:51,28.0710097,28483.53653,1/5/2021 19:01,,,,,
https://www.coproex.cc,FGLines,0x2De8B29d387CED32eAf2218eb50451E70f3ceFa5,ETH-USDT,,ETH,-,0x2de8b29d387ced32eaf2218eb50451e70f3cefa5,49.8264544,57487.15144,1/5/2021 19:01,49.8264544,57487.15144,2/1/2021 8:20,,,,,
https://www.coproex.cc,FGLines,0x2De8B29d387CED32eAf2218eb50451E70f3ceFa5,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2de8b29d387ced32eaf2218eb50451e70f3cefa5,48465.01131,48518.28666,1/5/2021 19:01,48465.01131,48518.28666,2/1/2021 8:20,,,,,
https://www.bf-ex.com/,FGLines,0x991df1e13ea8177615034858a0c0ef8454029871,ETH-USDT,,ETH,-,0x991df1e13ea8177615034858a0c0ef8454029871,1.14650304,2015.345212,2/12/2021 15:58,1.14650304,2015.345212,2/13/2021 2:51,,,,,
https://www.bf-ex.com/,FGLines,0xc61e25a2406214f9DF6C0693eC8330235d6115eF,ETH-USDT,,ETH,-,0xc61e25a2406214f9df6c0693ec8330235d6115ef,9.24418316,15838.49424,2/27/2021 12:09,9.24418316,15838.49424,3/20/2021 12:14,,,,,
https://www.bf-ex.com/,FGLines,0xc61e25a2406214f9DF6C0693eC8330235d6115eF,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc61e25a2406214f9df6c0693ec8330235d6115ef,6656.359615,6659.88589,2/27/2021 12:09,6656.359615,6659.88589,3/20/2021 12:14,,,,,
https://www.bf-ex.com/,FGLines,0x99D24f1273ef98423C904C390Ab32FAf03083d8B,ETH-USDT,,ETH,-,0x99d24f1273ef98423c904c390ab32faf03083d8b,370.0982916,745270.3136,3/4/2021 19:05,370.0982916,745270.3136,4/18/2021 19:21,,,,,
https://www.bf-ex.com/,FGLines,0x99D24f1273ef98423C904C390Ab32FAf03083d8B,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x99d24f1273ef98423c904c390ab32faf03083d8b,678540.8967,679566.5485,3/4/2021 19:05,678540.8967,679566.5485,4/18/2021 19:21,,,,,
https://www.bf-ex.com/,FGLines,0xA8D8eAdb85d875B0bd378DD8c74747C76fF2419d,ETH-USDT,,ETH,-,0xa8d8eadb85d875b0bd378dd8c74747c76ff2419d,9.525029,17285.41141,2/25/2021 18:30,9.525029,17285.41141,3/11/2021 14:59,,,,,
https://www.bf-ex.com/,FGLines,0xA8D8eAdb85d875B0bd378DD8c74747C76fF2419d,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa8d8eadb85d875b0bd378dd8c74747c76ff2419d,100500,100588.8956,2/25/2021 18:30,100500,100588.8956,3/11/2021 14:59,,,,,
https://www.bf-ex.com/,FGLines,0x395ae7c07d7f2f4c102ee84af078c56b286e69a7,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x395ae7c07d7f2f4c102ee84af078c56b286e69a7,494011.5388,494501.6483,2/11/2021 9:41,494011.5388,494501.6483,4/3/2021 7:46,,,,,
https://www.bf-ex.com/,FGLines,0x395ae7c07d7f2f4c102ee84af078c56b286e69a7,ETH-USDT,,ETH,-,0x395ae7c07d7f2f4c102ee84af078c56b286e69a7,78.81121309,129643.1031,2/11/2021 9:41,78.81121309,129643.1031,4/3/2021 7:46,,,,,
https://www.eightd.xyz,FunNull,0xB2a9B5f06Ac90Fc47030dEdaC1888521DaB90479,ETH-USDT,,ETH,-,0xb2a9b5f06ac90fc47030dedac1888521dab90479,1258.1694,2055100.915,7/10/2020 15:33,1258.1694,2055100.915,4/8/2022 15:25,,,,,
https://www.eightd.xyz,FunNull,0xB2a9B5f06Ac90Fc47030dEdaC1888521DaB90479,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb2a9b5f06ac90fc47030dedac1888521dab90479,3136516.858,3138528.847,7/10/2020 15:33,3136516.858,3138528.847,4/8/2022 15:25,,,,,
https://www.eightd.xyz,FunNull,0xB2a9B5f06Ac90Fc47030dEdaC1888521DaB90479,ETH-USDT,,imBTC,0x3212b29e33587a00fb1c83346f5dbfa69a458923,0xb2a9b5f06ac90fc47030dedac1888521dab90479,44.73589185,0,7/10/2020 15:33,44.73589185,0,4/8/2022 15:25,,,,,
https://www.eightd.xyz,FunNull,0xB2a9B5f06Ac90Fc47030dEdaC1888521DaB90479,ETH-USDT,,LON,0x0000000000095413afc295d19edeb1ad7b71c952,0xb2a9b5f06ac90fc47030dedac1888521dab90479,209.743907,665.270813,7/10/2020 15:33,209.743907,665.270813,4/8/2022 15:25,,,,,
https://www.coproex.cc,FunNull,0x68be4905babe21e3d27e775bc4e3f60d631c8e01,ETH-USDT,,ETH,-,0x68be4905babe21e3d27e775bc4e3f60d631c8e01,128.957596,219705.1502,2/1/2021 8:20,128.957596,219705.1502,3/23/2021 15:25,,,,,
https://www.coproex.cc,FunNull,0x68be4905babe21e3d27e775bc4e3f60d631c8e01,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x68be4905babe21e3d27e775bc4e3f60d631c8e01,197859.4454,197861.1588,2/1/2021 8:20,197859.4454,197861.1588,3/23/2021 15:25,,,,,
https://www.weilanwang.cc/cvJOQ3,FunNull,0x6da760fde4e7d53d72d36ad673d89fcd9520476b,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6da760fde4e7d53d72d36ad673d89fcd9520476b,754190.5075,754728.7461,12/23/2020 14:17,754190.5075,754728.7461,3/20/2021 14:47,,,,,
https://www.weilanwang.cc/cvJOQ3,FunNull,0x6da760fde4e7d53d72d36ad673d89fcd9520476b,ETH-USDT,,ETH,-,0x6da760fde4e7d53d72d36ad673d89fcd9520476b,152.7581299,220669.3375,12/23/2020 14:17,152.7581299,220669.3375,3/20/2021 14:47,,,,,
https://www.weilanwang.cc/cvJOQ4,FunNull,0xa9b0c5742f8e011cf7ed484903be5d813a93a004,ETH-USDT,,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa9b0c5742f8e011cf7ed484903be5d813a93a004,1335896.3,1337594.397,1/25/2021 16:07,1335896.3,1337594.397,4/20/2021 16:46,,,,,
https://www.weilanwang.cc/cvJOQ4,FunNull,0xa9b0c5742f8e011cf7ed484903be5d813a93a004,ETH-USDT,,ETH,-,0xa9b0c5742f8e011cf7ed484903be5d813a93a004,93.09424302,147706.3942,1/25/2021 16:07,93.09424302,147706.3942,4/20/2021 16:46,,,,,
