address,Receive,Receive_USD,First_Receive_Date,Spend,Spend_USD,Last_Spend_Date,Balance,Balance_USD
3D2jdXj4qTBS2ioHSsmbRyD4KpPz5uYw24,2.90210683,38556.14892,9/18/2019,2.90210683,39516.98833,12/12/2022,0,-960.8394055
3D3Sp13v5htQ5VpX7YcCVXj7Lt2VhXMRa8,15.12924652,664019.0351,1/11/2021,15.12924652,659096.8909,9/4/2021,0,4922.144193
3DEXcM8KKQDuwgTpeghGLu5i1sL914eNwr,154.698277,5750490.067,1/6/2021,154.6982715,5709264.174,1/19/2021,5.46E-06,41225.89331
3DMmHR6ELAtrLxtHuS2SKSjR5xtrbU6nTP,0.00745063,425.7369006,8/13/2021,0.00745063,424.7762192,12/29/2021,0,0.960681341
3DpagDScbGW7YJimrezbh9mzQVp77r7pqK,56.46958437,2044108.31,5/29/2021,56.46957343,2042267.236,6/29/2021,1.09E-05,1841.074737
3EEmC3A7GrkH1CtxvKi5Q7SoGGFcheNDbL,21.68822793,693326.5916,6/18/2021,21.68822793,708603.1136,7/31/2021,0,-15276.52202
3EJsxEpqXyNgoXTNz4Mv5Ga2vKraeecfK3,4.9805601,289259.6416,10/12/2021,4.9805601,288791.5288,10/17/2021,0,468.112858
3FEvSkQJn5Wq15WJSoQvUJ4xQeQ8GFLcGH,46.38738129,2537863.565,4/2/2021,46.38738129,2536711.377,5/30/2021,0,1152.188218
3GTQAiQE4S7ZS79U3jiDTdxwVonv3p8KDH,0.1206245,6642.291447,3/23/2021,0.1206245,6568.209373,3/24/2021,0,74.08207467
3Gc6sHDXMCuYVnFnQRCfudevHAeig8ouew,2.22503319,85924.99988,7/24/2021,2.22503319,85942.10725,8/5/2021,0,-17.10737153
3HKCByfLAnh69WzSEVjq5rsDJQJaAg6tBz,9.18509537,523899.4776,10/12/2021,9.18509537,524511.9915,10/17/2021,0,-612.5139418
3Hd66ddiVbQEZrNWPC7XsxyPt18Uv6H8V8,0.38233436,11516.04967,11/30/2021,0.38233436,11321.96619,9/9/2022,0,194.0834741
3J4pLTcFEQHnHgwFNG815wuxYnUDDG9SZQ,3.51328884,204758.8723,4/4/2021,3.51328884,203993.5716,5/22/2021,0,765.3006725
3JdpEZEbDnPFBTjt3qZDGdtGdUN1pDLEEk,6.93783638,275276.3221,6/30/2021,6.93783638,278087.7602,8/21/2021,0,-2811.43817
3KNZdYKxh2KELbkuLWg65yinxuYQSGBHNM,4.27974682,140843.037,6/20/2021,4.27974682,148556.2079,6/28/2021,0,-7713.170869
3KQV1SnbBEcpoMJPgbwL7EZSt2TiHP2x4i,28.87006299,1100600.067,12/3/2020,28.87006299,1102512.025,5/25/2023,0,-1911.958476
3LP1wHakYopVYu9apoEskKRsWgrZMuDjvb,34.71770234,1105211.27,2/16/2021,34.71770234,1104871.429,5/1/2023,0,339.8403932
3LPUwk5BEw3WdEvBZoHeyH4mMxZxsiceVv,1.020919,62910.55156,6/16/2021,1.020919,63459.49681,12/2/2021,0,-548.9452437
3LPekqqtG1Zd2BtgSM7UZVaEd478zHZcsV,7.91072925,257919.3207,8/29/2020,7.91072378,254603.1846,6/2/2021,5.47E-06,3316.136116
3LWLx4mx2eA9R7HEossn7yqopqAKJThnZ6,53.44511723,2307789.08,12/9/2021,53.44511723,2307909.064,3/24/2022,0,-119.9841263
3LZziZtvCS5huwtfokvzyjfTDTz7WrZSe9,13.86060619,318043.0491,12/11/2020,13.86060079,320415.2339,2/9/2021,5.40E-06,-2372.184713
3LqpJvEZrR7zfLYeRxFzH9DjKHVSiufWBd,16.06800039,695386.1599,9/4/2020,16.06800039,689781.148,8/10/2021,0,5605.011817
3LtiyRdgZP91zeS39kzSohLTKSboYAbUaA,17.05012804,599044.2201,1/4/2021,17.05000264,599680.073,2/3/2021,0.0001254,-635.8529042
3M5oC42iMt5A4dFWJaPwbMqELTvadP7Web,27.78139831,1245696.954,4/29/2021,27.78139284,1250451.422,5/28/2021,5.47E-06,-4754.4675
3M8V2HY3mWbZK6ZDqz3wWEsmZZjBTQrtaB,6.47754633,301961.9808,8/19/2021,6.47754633,301961.9808,8/19/2021,0,0
3M91YwttDAEC8N46cAEsKWsjDousEM4seL,17.46496628,1058085.041,10/12/2021,17.46496628,1058028.458,1/15/2022,0,56.58378693
3MCDQe7K2JxNNkAxXUWcU9Md66ZGqdtTbY,7.49383086,358570.3399,8/25/2021,7.49383086,358774.3737,9/14/2021,0,-204.0337447
3MDGPuuntDBs3bCNiGn9dggUNoo2AvC5uH,3.84317382,177288.1005,8/26/2021,3.84317382,177543.7355,9/25/2021,0,-255.6350459
3MVHM4MZyMqSniJuV2nKQvh4syCtKUqsHc,70.80471474,2515035.082,5/29/2021,70.80470927,2514921.58,6/27/2021,5.47E-06,113.5020828
3MXm6YrsGukkFTZowChDHSmXqc6FR4zo6H,7.53499269,384995.3412,9/17/2021,7.53499269,387430.7346,1/5/2022,0,-2435.393421
3N1G74gWXPHZUK95xXvBzc1F5ELgUEdYwT,4.80365771,248292.918,10/3/2021,4.80365771,248419.7806,10/11/2021,0,-126.8625554
3PX1xMdQ5mPDPWSVFfHDR2d7WSP3t4KwxB,27.24406006,1192837.916,4/29/2021,27.24406006,1177572.384,7/27/2021,0,15265.53243
3PjNhSv9i3iANvuSktiBqSt43wbPhCN56u,1.58822699,81794.78549,8/30/2021,1.58822699,81594.19866,10/29/2021,0,200.5868221
3Q2TipsekoWJkgJtcrNAyQedVWRurxRThs,2.91845877,126781.8545,9/14/2021,2.91845877,127854.023,9/22/2021,0,-1072.168452
3QATikVEraTSubcLZrQxmFERH3cK858EeC,56.29829763,2075058.139,4/20/2021,56.29829216,2071033.681,10/20/2021,5.47E-06,4024.457979
3QU3HMiBGDCfo5oXNePpY9AoAFP356d32W,17.83733552,637813.5668,7/1/2021,17.83733552,637898.9095,8/2/2021,0,-85.34268143
3QfbSQWoC5UCu15ieNdhAJva8Yy9NpAzMp,19.40425999,821735.3454,1/18/2021,19.40425452,808068.1093,3/10/2021,5.47E-06,13667.23611
13B1aPtiU6wSTC5iArWXn5Hmioz31MvgJY,0.09309,4541.791856,12/11/2021,0.09309,4297.654505,4/17/2022,0,244.1373511
146ELHJKWCX875PVoxhUJ9zkasuqUnAyvX,11.3104688,376602.3675,4/11/2021,11.3104688,360480.0329,3/20/2023,0,16122.33456
15CnNGZcTSZACN9xu4hmW6AR3QtFonqCoU,0.223485,8579.75522,3/31/2021,0.223485,8221.166993,6/21/2021,0,358.5882267
16VV59vePtMChJSmBdVyYyPWEMYUK1VQ4J,2.87047042,112641.2331,3/2/2022,2.87047042,112910.1773,3/10/2022,0,-268.9441869
17NCAM6rdmjKD9j7WLG5W6Ee7bTf4ccEG3,0.03199933,2002.259577,11/4/2021,0.03199933,2000.411241,11/4/2021,0,1.8483363
17atnU1SVx93o6UWBRg4K31nE1AVYVoo7S,9.54899319,428105.9546,9/17/2021,9.54899319,428753.2746,6/20/2022,0,-647.3199794
198Ea16KyJwZo6WqqfiJbhsAuUqy7qD7Wk,76.02565552,3259447.753,12/13/2021,76.02439801,3259749.545,2/8/2022,0.00125751,-301.7915443
19GKApRhj81vcqFXKWGUoQyWuexRWJThGU,1.48050993,83210.46517,11/28/2020,1.48050993,83226.08708,12/2/2021,0,-15.62191242
