Scam_Platform,Syndicate_group,Address_L0,CrytoType,domain,parent_domain
https://btcturocenter.com,dnsV1,3KNZdYKxh2KELbkuLWg65yinxuYQSGBHNM,BTC,btcturocenter.com,btcturocenter.com
https://btcturocenter.com,FunNull,0x023A8F2586DEa2C3769306fAa246990F297CF981,ETH-USDT,btcturocenter.com,btcturocenter.com
https://btcturocenter.com,FunNull,0xBCEf0F423a7b0BfaBAF106991E9Bc8cfd56509c2,ETH-USDT,btcturocenter.com,btcturocenter.com
https://btcturocenter.com,FunNull,0x11390cb49e9f6B15746731eb3C32175457f06595,ETH-USDT,btcturocenter.com,btcturocenter.com
https://btcturocenter.com,FunNull,0xbB6999f4bcEEa79aE16D32717E5521A70446e224,ETH-USDT,btcturocenter.com,btcturocenter.com
https://btcturocenter.com,FunNull,0x3663061968415a9b670a430c0ae7d796b8475fcc,ETH-USDT,btcturocenter.com,btcturocenter.com
https://www.eonmir.cc,MT5,0x1e0C1639386BDa0403cECAbbAdeaE185Fa7b7128,ETH-USDT,eonmir.cc,eonmir.cc
https://www.eonmir.cc,MT5,0x3cCD052F454A230164BFffF691C819213D3003a4,ETH-USDT,eonmir.cc,eonmir.cc
https://btcturob2c.com/h5#/,dnsV1,0x120Bb0bb2734640358cc7c96386862B896C262c6,ETH-USDT,btcturob2c.com,btcturob2c.com
https://btcturob2c.com/h5#/,dnsV1,3QU3HMiBGDCfo5oXNePpY9AoAFP356d32W,BTC,btcturob2c.com,btcturob2c.com
https://btcturob2c.com/h5#/,dnsV1,0xdd04695af299c50a1c5cecc13e5185b96935c184,ETH-USDT,btcturob2c.com,btcturob2c.com
https://btcturob2c.com/h5#/,dnsV1,0x5a219893fb0bb512bac0bfa36fdd490f8e79f1ad,ETH-USDT,btcturob2c.com,btcturob2c.com
https://btcturob2c.com/h5#/,dnsV1,16iG38TgkQqQVgnkQuTuqHDM7ushF1iyxJ,BTC,btcturob2c.com,btcturob2c.com
https://www.trade81853.xyz,FunNull,327m4PccsyAQ9S2MfmgPdiApLrGVfKvgPP,BTC,trade81853.xyz,trade81853.xyz
https://www.trade81853.xyz,FunNull,32bQjpKDXsydjEXPXxRrRnnPTHxu4Xq6cx,BTC,trade81853.xyz,trade81853.xyz
https://www.trade81853.xyz,FunNull,3PX1xMdQ5mPDPWSVFfHDR2d7WSP3t4KwxB,BTC,trade81853.xyz,trade81853.xyz
https://www.trade81853.xyz,FunNull,1HDwh6aHCQsDDQG6VthDKBiTa1kj8xWZiP,BTC,trade81853.xyz,trade81853.xyz
https://bitchemdtc.com,dnsV1,0x09cBde511dFAaf545698F11f8850ABb5809C5A6E,ETH-USDT,bitchemdtc.com,bitchemdtc.com
https://bitchemdtc.com,dnsV1,0x120Bb0bb2734640358cc7c96386862B896C262c6,ETH-USDT,bitchemdtc.com,bitchemdtc.com
https://www.wclubex.com,dnsV1,3JdpEZEbDnPFBTjt3qZDGdtGdUN1pDLEEk,BTC,wclubex.com,wclubex.com
https://d.huntinglobal.buzz,FunNull,0x33bc5fdc52d4155e84fec8f11624e6753ff39220,ETH-USDT,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,0x806f0d79e0c04dbf3f7ecae8b808e613a890239e,ETH-USDT,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,0x10e426ca3a88338dacf1f6acf7f76cd0628e7e6f,ETH-USDT,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,0xecaA898B2dcbF9952f72212385732079E02Ce30a,ETH-USDT,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,35NKYVqmyAHLRD95uk9AT1gANxNxYU39fv,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,3DEXcM8KKQDuwgTpeghGLu5i1sL914eNwr,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,3QfbSQWoC5UCu15ieNdhAJva8Yy9NpAzMp,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,1gZwKgMTFGzt3U7WcMCt4Q4SbijbuZwu3,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,1JYFj2VbSuUvuAirqHDDP3PvppLDoFc9Sh,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,1AdQ4FQ7AdK3xyEAjfPNKwm3ZFwimFWUHW,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,343DKdcg3sJ6J7Vahwxy67x949NjRZJ4r6,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,17jLZy3LQxwVxbBAoxYBTPAAEKqEoV3Px9,BTC,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,0xD1eFAb67D5679139F3648cf88E9fEb412C9CEB07,ETH-USDT,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,0x93e50e2aD24C8E435C1f09572a74A016c6c86E7B,ETH-USDT,d.huntinglobal.buzz,huntinglobal.buzz
https://d.huntinglobal.buzz,FunNull,0xbb919e1b1f234e624b07ad772dc411c0c9844a48,ETH-USDT,d.huntinglobal.buzz,huntinglobal.buzz
h5.uniswapx3.com,Uniswap,0x60b99e194cd613471a058f5598737345f70e6314,ETH-USDT,h5.uniswapx3.com,uniswapx3.com
