address,sum_in,sum_in_usd,sum_out,sum_out_usd,balance,count_in,count_out,currency_address,symbol,tokenType,annotation,first_transaction_time,last_transaction_time,receive_from_currencies,send_to_currencies
0xa9b0c5742f8e011cf7ed484903be5d813a93a004,1335896.3,1337594.397,1335896.3,1337594.397,0,153,101,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,1/25/2021 16:07,4/20/2021 16:46,3,3
0xa9b0c5742f8e011cf7ed484903be5d813a93a004,93.09424302,147706.3942,93.09424302,147706.3942,0,47,21,-,ETH,,,1/25/2021 16:07,4/20/2021 16:46,3,3
0xa9b0c5742f8e011cf7ed484903be5d813a93a004,782.277659,784.4968426,782.277659,784.4968426,0,1,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,ERC20,,1/25/2021 16:07,4/20/2021 16:46,3,3
0x27931128eabfa28a4072e7ae35ed20f1599529b9,482332.3605,482828.6805,482332.3605,482828.6805,0,100,66,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,1/27/2021 0:04,3/20/2021 14:53,2,2
0x27931128eabfa28a4072e7ae35ed20f1599529b9,108.380305,176899.1221,108.380305,176899.1221,0,54,23,-,ETH,,,1/27/2021 0:04,3/20/2021 14:53,2,2
0x33bc5fdc52d4155e84fec8f11624e6753ff39220,332409.1725,332718.1149,332409.1725,332718.1149,0,111,72,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,4/3/2021 15:31,5/28/2021 20:44,2,2
0x33bc5fdc52d4155e84fec8f11624e6753ff39220,26.88302141,67415.47344,26.88302141,67415.47344,0,18,18,-,ETH,,,4/3/2021 15:31,5/28/2021 20:44,2,2
0x806f0d79e0c04dbf3f7ecae8b808e613a890239e,700390.6073,700609.1074,700390.6073,700609.1074,0,66,49,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,6/4/2021 7:59,7/10/2021 1:29,2,2
0x806f0d79e0c04dbf3f7ecae8b808e613a890239e,91.78060096,191487.2444,91.78060096,191487.2444,0,39,38,-,ETH,,,6/4/2021 7:59,7/10/2021 1:29,2,2
0x889baa13fb585c84df33ed428e7e807af60dce9b,562.5737222,1755103.543,562.5737222,1755103.543,0,140,54,-,ETH,,,4/2/2021 11:05,6/8/2021 6:09,2,2
0x889baa13fb585c84df33ed428e7e807af60dce9b,408854.3325,409266.9528,408854.3325,409266.9528,0,82,46,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,4/2/2021 11:05,6/8/2021 6:09,2,2
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,8195602.624,8199044.688,8195602.624,8199044.688,0,358,239,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,3/25/2021 10:06,9/20/2022 9:18,8,3
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,205.771189,629825.85,205.771189,629825.85,0,50,23,-,ETH,,,3/25/2021 10:06,9/20/2022 9:18,8,3
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,1084007.458,1084908.944,1084007.458,1084908.944,0,50,23,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,ERC20,,3/25/2021 10:06,9/20/2022 9:18,8,3
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,250000.0,0.0,250000.0,0.0,0,1,0,0x34278f6f40079eae344cbac61a764bcf85afc949,FF9.io,ERC20,,3/25/2021 10:06,9/20/2022 9:18,8,3
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,242321.0,0.0,242321.0,0.0,0,1,0,0x4af9ab04615cb91e2ee8cbedb43fb52ed205041b,KHEX.net,ERC20,,3/25/2021 10:06,9/20/2022 9:18,8,3
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,74204.0,0.0,74204.0,0.0,0,1,0,0xfba4e75a05c132f313119eb8945e9ada4f6ca97f,aWETH.io,ERC20,,3/25/2021 10:06,9/20/2022 9:18,8,3
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,250000.0,0.0,250000.0,0.0,0,1,0,0x82dfdb2ec1aa6003ed4acba663403d7c2127ff67,akSwap.io,ERC20,,3/25/2021 10:06,9/20/2022 9:18,8,3
0x45ac0e3be7afd4fac57aac834c4f26fce1484010,2508.0,0.0,2508.0,0.0,0,1,0,0x69d732f50e248d4b825d524fedeb0d7ce3d76352,asol.site,ERC20,,3/25/2021 10:06,9/20/2022 9:18,8,3
0xe62fbf495a4a046b576b2271b8a56ded4be74e74,184.0618744,490390.4606,184.0618744,490390.4606,0,109,38,-,ETH,,,2/4/2021 15:16,10/17/2021 9:01,2,2
0xe62fbf495a4a046b576b2271b8a56ded4be74e74,387749.3518,388106.7493,387749.3518,388106.7493,0,99,50,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,2/4/2021 15:16,10/17/2021 9:01,2,2
0x1443cc0017a7454e6ccdad674d3b8716cb2fe6e5,1149.891156,2604107.033,1149.891156,2604107.033,0,338,292,-,ETH,,,5/28/2021 22:16,6/30/2021 2:29,3,3
0x1443cc0017a7454e6ccdad674d3b8716cb2fe6e5,1047072.34,1047510.396,1047072.34,1047510.396,0,40,26,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,5/28/2021 22:16,6/30/2021 2:29,3,3
0x1443cc0017a7454e6ccdad674d3b8716cb2fe6e5,100.0,100.2558947,100.0,100.2558947,0,1,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,ERC20,,5/28/2021 22:16,6/30/2021 2:29,3,3
0x144bf53c87776381dc9070dc13bbed0e8a661994,140990.6324,141035.2031,140990.6324,141035.2031,0,19,14,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,6/11/2021 21:58,7/13/2021 17:56,2,2
0x144bf53c87776381dc9070dc13bbed0e8a661994,6.882207351,15652.05956,6.882207351,15652.05956,0,9,6,-,ETH,,,6/11/2021 21:58,7/13/2021 17:56,2,2
0xafb03c522bec2e4dc49cce05aa89bafdb1561f29,1364.54895,1683151.37,1364.54895,1683151.37,0,252,228,-,ETH,,,1/3/2021 20:16,3/2/2021 20:54,2,2
0xafb03c522bec2e4dc49cce05aa89bafdb1561f29,394231.9397,394306.3436,394231.9397,394306.3436,0,81,75,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,1/3/2021 20:16,3/2/2021 20:54,2,2
0x6b60cbf2a9063056d65f583bd0acc762905171bf,710.3847376,1205926.208,710.3847376,1205926.208,0,147,111,-,ETH,,,2/2/2021 8:34,3/2/2021 20:57,2,2
0x6b60cbf2a9063056d65f583bd0acc762905171bf,185150.5436,185287.4128,185150.5436,185287.4128,0,33,32,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,2/2/2021 8:34,3/2/2021 20:57,2,2
0xc550a01bf2da48b2cde1b8f028e9f331214592a8,166.1290253,357060.1842,166.1290253,357060.1842,0,75,20,-,ETH,,,3/9/2021 8:20,8/11/2021 15:03,3,3
0xc550a01bf2da48b2cde1b8f028e9f331214592a8,303167.5727,303407.4572,303167.5727,303407.4572,0,8,8,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,3/9/2021 8:20,8/11/2021 15:03,3,3
0xc550a01bf2da48b2cde1b8f028e9f331214592a8,4.31399232,122.1090054,4.31399232,122.1090054,0,2,1,0x514910771af9ca656af840dff83e8264ecf986ca,LINK,ERC223,,3/9/2021 8:20,8/11/2021 15:03,3,3
0x18e0faa85f8345714e3b348d5ba414fcfa033725,610.9238466,1564443.461,610.9238466,1564443.461,0,368,131,-,ETH,,,4/20/2021 0:55,9/1/2021 21:59,5,5
0x18e0faa85f8345714e3b348d5ba414fcfa033725,1074786.515,1075463.349,1074786.515,1075463.349,0,227,106,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,4/20/2021 0:55,9/1/2021 21:59,5,5
0x18e0faa85f8345714e3b348d5ba414fcfa033725,0.710289,0.0,0.710289,0.0,0,4,4,0x3212b29e33587a00fb1c83346f5dbfa69a458923,imBTC,ERC20,,4/20/2021 0:55,9/1/2021 21:59,5,5
0x18e0faa85f8345714e3b348d5ba414fcfa033725,13929.63996,13949.74242,13929.63996,13949.74242,0,3,3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,ERC20,,4/20/2021 0:55,9/1/2021 21:59,5,5
0x18e0faa85f8345714e3b348d5ba414fcfa033725,183.9955818,183.9991967,183.9955818,183.9991967,0,2,1,0x0000000000085d4780b73119b644ae5ecd22b376,TUSD,ERC20,,4/20/2021 0:55,9/1/2021 21:59,5,5
0x4c8714bf2dee440c1ae2bf35206c5f1b714ce71c,105.1481515,234395.7942,105.1481515,234395.7942,0,94,23,-,ETH,,,4/4/2021 3:04,11/7/2022 10:43,4,4
0x4c8714bf2dee440c1ae2bf35206c5f1b714ce71c,406735.7947,407354.7857,406735.7947,407354.7857,0,46,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,4/4/2021 3:04,11/7/2022 10:43,4,4
0x4c8714bf2dee440c1ae2bf35206c5f1b714ce71c,2.8701294,0.0,2.8701294,0.0,0,14,13,0x3212b29e33587a00fb1c83346f5dbfa69a458923,imBTC,ERC20,,4/4/2021 3:04,11/7/2022 10:43,4,4
0x4c8714bf2dee440c1ae2bf35206c5f1b714ce71c,49.27495,31.6422579,49.27495,31.6422579,0,1,1,0x0000000000095413afc295d19edeb1ad7b71c952,LON,ERC20,,4/4/2021 3:04,11/7/2022 10:43,4,4
0x4803e2728861787b682be1fb52378d61d90f2df2,383105.0452,383360.1604,383105.0452,383360.1604,0,11,9,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,2/26/2021 6:41,6/18/2021 17:31,3,3
0x4803e2728861787b682be1fb52378d61d90f2df2,50.2750202,82273.2061,50.2750202,82273.2061,0,9,4,-,ETH,,,2/26/2021 6:41,6/18/2021 17:31,3,3
0x4803e2728861787b682be1fb52378d61d90f2df2,452038.0,452541.309,452038.0,452541.309,0,5,5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,ERC20,,2/26/2021 6:41,6/18/2021 17:31,3,3
0x3fc7a1d346555b8353fdb51e4d8ce52b82b1deec,7000.0,7002.710342,7000.0,7002.710342,0,2,1,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,6/18/2021 2:27,7/7/2021 20:53,2,2
0x3fc7a1d346555b8353fdb51e4d8ce52b82b1deec,0.0025,5.924780884,0.0025,5.924780884,0,1,1,-,ETH,,,6/18/2021 2:27,7/7/2021 20:53,2,2
0x9ee1f024cfed045d05e182c9df4fa9d641234b8e,64.76169808,199754.9618,64.76169808,199754.9618,0,60,13,-,ETH,,,4/27/2021 17:20,5/25/2021 22:59,2,2
0x9ee1f024cfed045d05e182c9df4fa9d641234b8e,138645.5714,138804.0592,138645.5714,138804.0592,0,13,9,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,4/27/2021 17:20,5/25/2021 22:59,2,2
0x8b461e38819f020e26fe3a67e074276e393b1693,111.2413426,261301.8551,111.2413426,261301.8551,0,81,19,-,ETH,,,5/25/2021 5:21,7/1/2021 20:28,2,2
0x8b461e38819f020e26fe3a67e074276e393b1693,10808.64,10812.25747,10808.64,10812.25747,0,3,2,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,5/25/2021 5:21,7/1/2021 20:28,2,2
0xfc34018ec2720eff5602673f9558da78f56507e1,147.3527582,309525.1834,147.3527582,309525.1834,0,107,26,-,ETH,,,7/1/2021 22:43,8/5/2021 3:30,3,3
0xfc34018ec2720eff5602673f9558da78f56507e1,2363.64077,2364.871569,2363.64077,2364.871569,0,2,2,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,7/1/2021 22:43,8/5/2021 3:30,3,3
0xfc34018ec2720eff5602673f9558da78f56507e1,128.0639895,1189.336827,128.0639895,1189.336827,0,1,1,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,UMA,ERC20,,7/1/2021 22:43,8/5/2021 3:30,3,3
0xd9215cb5b3ac2ac3a1f4e25b0ec0290ad0c393bc,667.2491863,2070558.223,667.2491863,2070558.223,0,154,126,-,ETH,,,4/29/2021 12:54,7/6/2021 19:06,2,2
0xd9215cb5b3ac2ac3a1f4e25b0ec0290ad0c393bc,587350.9713,587705.9159,587350.9713,587705.9159,0,35,20,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,4/29/2021 12:54,7/6/2021 19:06,2,2
0x1443cc0017a7454e6ccdad674d3b8716cb2fe6e5,1149.891156,2604107.033,1149.891156,2604107.033,0,338,292,-,ETH,,,5/28/2021 22:16,6/30/2021 2:29,3,3
0x1443cc0017a7454e6ccdad674d3b8716cb2fe6e5,1047072.34,1047510.396,1047072.34,1047510.396,0,40,26,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ERC20,,5/28/2021 22:16,6/30/2021 2:29,3,3
0x1443cc0017a7454e6ccdad674d3b8716cb2fe6e5,100.0,100.2558947,100.0,100.2558947,0,1,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,ERC20,,5/28/2021 22:16,6/30/2021 2:29,3,3
