domain,parent_domain
o.oneofu.work,oneofu.work
dot-ex.vip,dot-ex.vip
bibtc.net,bibtc.net
h5.borsaint.com,borsaint.com
youtuex.com,youtuex.com
coinhui.net,coinhui.net
diexchange.net,diexchange.net
lippoltd.com.hk,com.hk
tfee.xyz,tfee.xyz
h5.huilitrad.com,huilitrad.com
fgweb68.com,fgweb68.com
s656819a6.com,s656819a6.com
sunnyforex.com.,com.
bitcoinexos.vip,bitcoinexos.vip
leta.ink,leta.ink
Blackrockweb68.com,Blackrockweb68.com
down.bstast.net,bstast.net
sshenwan.com,sshenwan.com
grdwd5.com,grdwd5.com
user.linkhuminvestment.com,linkhuminvestment.com
account.forex40.com,forex40.com
gb.anygaladay.com,anygaladay.com
ambrose.syins8.com,syins8.com
brtopapp.com,brtopapp.com
apkoss.oss-cn-chengdu.aliyuncs.com,aliyuncs.com
account.bit-deercoin.com,bit-deercoin.com
"bintrad.xyz
www.lianruitrad.com",lianruitrad.com
kickexint.com,kickexint.com
only.qnhzrq.work,qnhzrq.work
inpcforex.com,inpcforex.com
"bvproglobal.com
http","bvproglobal.com
http"
m.gangstacum.com,gangstacum.com
oslarl.com,oslarl.com
"kiauddh78mucn.com
http","kiauddh78mucn.com
http"
dt32267.com,dt32267.com
down.a51fan.com,a51fan.com
suy.jusvvxa.xyz,jusvvxa.xyz
jkhiurthrkjhfg.space,jkhiurthrkjhfg.space
h5.cap1688.com,cap1688.com
tmxgroup.live,tmxgroup.live
zygj.lkwnmt.work,lkwnmt.work
coin-isp.com,coin-isp.com
vestlepra.com,vestlepra.com
wlp.758563.top,758563.top
hjhdcv.life,hjhdcv.life
m.antsex.com,antsex.com
btccoins1.xyz,btccoins1.xyz
bitchembox.com,bitchembox.com
ff.yjypmall.cn,yjypmall.cn
btcwold.com,btcwold.com
luckycoin.shop,luckycoin.shop
"capitaloneu.vip
https","capitaloneu.vip
https"
o17bvabs.xyz,o17bvabs.xyz
ptex.pro,ptex.pro
yodacapital.net,yodacapital.net
hbtoponei.com,hbtoponei.com
bbkx.com,bbkx.com
